Ring,Case,Left_View,Held_Out_Target,Right_View,Method,Mask_OK,MAE,PSNR,SSIM,Edge_F1,Runtime_s
upper,3,upper_05.JPG,upper_06.JPG,upper_07.JPG,D_Full_Proposed,1,27.367992,16.034444,0.252481,0.856126,0.153327
upper,4,upper_07.JPG,upper_08.JPG,upper_09.JPG,A_Baseline,1,27.623375,16.053274,0.375918,0.824775,0.052802
upper,4,upper_07.JPG,upper_08.JPG,upper_09.JPG,B_Lighting,1,26.972408,16.141731,0.377136,0.821809,0.036162
upper,4,upper_07.JPG,upper_08.JPG,upper_09.JPG,C_Bidirectional_Occlusion,1,23.550900,16.585551,0.405123,0.846637,0.149866
upper,4,upper_07.JPG,upper_08.JPG,upper_09.JPG,D_Full_Proposed,1,23.521858,16.606766,0.407519,0.840871,0.153880
upper,5,upper_09.JPG,upper_10.JPG,upper_11.JPG,A_Baseline,1,27.886385,15.978188,0.282096,0.835550,0.036550
upper,5,upper_09.JPG,upper_10.JPG,upper_11.JPG,B_Lighting,1,27.913706,15.957965,0.280987,0.839466,0.036542
upper,5,upper_09.JPG,upper_10.JPG,upper_11.JPG,C_Bidirectional_Occlusion,1,24.083826,16.599196,0.319076,0.870357,0.149881
upper,5,upper_09.JPG,upper_10.JPG,upper_11.JPG,D_Full_Proposed,1,23.963669,16.625042,0.320422,0.865981,0.155614
upper,6,upper_11.JPG,upper_12.JPG,upper_13.JPG,A_Baseline,1,31.418570,15.318486,0.224343,0.824039,0.036329
upper,6,upper_11.JPG,upper_12.JPG,upper_13.JPG,B_Lighting,1,31.461878,15.292955,0.224253,0.826784,0.036260
upper,6,upper_11.JPG,upper_12.JPG,upper_13.JPG,C_Bidirectional_Occlusion,1,27.654060,15.810104,0.266380,0.880111,0.149864
upper,6,upper_11.JPG,upper_12.JPG,upper_13.JPG,D_Full_Proposed,1,27.429956,15.944471,0.268508,0.876974,0.155720
upper,7,upper_13.JPG,upper_14.JPG,upper_15.JPG,A_Baseline,1,19.149364,18.283257,0.483969,0.851410,0.036137
upper,7,upper_13.JPG,upper_14.JPG,upper_15.JPG,B_Lighting,1,18.651745,18.314824,0.484450,0.847110,0.036183
upper,7,upper_13.JPG,upper_14.JPG,upper_15.JPG,C_Bidirectional_Occlusion,1,18.245497,18.137401,0.499680,0.872619,0.148950
upper,7,upper_13.JPG,upper_14.JPG,upper_15.JPG,D_Full_Proposed,1,18.199146,18.158505,0.501054,0.869545,0.153031
upper,8,upper_15.JPG,upper_16.JPG,upper_17.JPG,A_Baseline,1,25.490944,16.279158,0.416160,0.832227,0.036578
upper,8,upper_15.JPG,upper_16.JPG,upper_17.JPG,B_Lighting,1,25.454021,16.264466,0.415304,0.835423,0.036054
upper,8,upper_15.JPG,upper_16.JPG,upper_17.JPG,C_Bidirectional_Occlusion,1,23.632681,16.334083,0.429449,0.877219,0.149717
upper,8,upper_15.JPG,upper_16.JPG,upper_17.JPG,D_Full_Proposed,1,23.610836,16.332842,0.431590,0.868195,0.155253
